Machine,StartDateTime,EndDateTime,Duration,TotalBiscuitsMade,GoodMadeBiscuits,OEE Category,Product
Biscuit Filling Machine ,7/1/21 0:23,7/1/21 0:25,1.883333325,119795,21061,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:25,7/1/21 0:31,6.116666794,123671,25185,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:31,7/1/21 0:40,9.016666412,123541,24851,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:40,7/1/21 0:42,2.383333445,124798,26282,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:42,7/1/21 0:43,0.8666666746,125036,26272,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:43,7/1/21 0:45,1.766666651,125796,26788,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:45,7/1/21 0:46,0.6999999881,125963,26904,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:46,7/1/21 0:46,0.5833333135,125792,27252,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:46,7/1/21 0:47,0.6333333254,125852,27442,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 0:47,7/1/21 1:03,16.41666603,136770,38394,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 0:50,7/1/21 0:51,0.2333499938,0,439,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 0:51,7/1/21 1:01,10.36691666,0,165,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/21 1:01,7/1/21 1:02,0.6667166948,0,101,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 1:02,7/1/21 1:03,0.816683352,0,488,NO (No Order),Jammy Creams
Biscuit Topping Machine ,7/1/21 1:03,7/1/21 1:03,0.2166666687,0,276,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/21 1:03,7/1/21 5:39,276.80896,0,426,CC (Changeover Cleaning),Jammy Creams
Biscuit Topping Machine ,7/1/21 1:03,7/1/21 5:39,276.2927246,0,51,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:03,7/1/21 1:05,1.733333349,136864,38435,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:05,7/1/21 1:07,1.466666698,137646,39256,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:07,7/1/21 1:08,1.533333302,137991,38985,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:08,7/1/21 1:08,0.03333333507,137969,39126,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:08,7/1/21 1:08,0.1333333403,137936,39211,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:08,7/1/21 1:09,1.116666675,138243,39529,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:09,7/1/21 1:11,1.866666675,138287,39438,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:11,7/1/21 1:11,0.03333333507,138307,39839,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:11,7/1/21 1:12,0.1833333373,138143,39882,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:12,7/1/21 1:12,0.03333333507,138449,39879,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:12,7/1/21 1:13,1.033333302,138653,39459,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:13,7/1/21 1:14,1.100000024,138948,40159,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:14,7/1/21 1:16,2.316666603,138916,40051,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:16,7/1/21 1:17,0.6166666746,139142,40600,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:17,7/1/21 1:17,0.3000000119,139083,40673,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:17,7/1/21 1:19,1.583333373,140056,41283,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:19,7/1/21 1:19,0.9166666865,140130,41409,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:19,7/1/21 1:20,0.8000000119,140359,41510,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:20,7/1/21 1:21,1.25,140502,41520,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/21 1:21,7/1/21 1:40,19.01666641,153722,54914,NO (No Order),Jammy Creams
